model,variant,params,accuracy,precision_weighted,recall_weighted,f1_weighted,roc_auc_ovr_weighted
logistic_regression,untuned_baseline,default,0.3787878787878788,0.338961038961039,0.3787878787878788,0.3545646945646945,0.5921028466483012
logistic_regression,tuned_gridsearchcv,"{""classifier__C"": 1, ""classifier__penalty"": ""l2""}",0.3787878787878788,0.338961038961039,0.3787878787878788,0.3545646945646945,0.5921028466483012
random_forest,untuned_baseline,default,0.45454545454545453,0.4527497981214672,0.45454545454545453,0.4483785220627326,0.6174328512396694
random_forest,tuned_gridsearchcv,"{""max_depth"": 10, ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.45454545454545453,0.4557357168523177,0.45454545454545453,0.44718448856379894,0.6202622819100092
xgboost,untuned_baseline,default,0.48484848484848486,0.4853980986333928,0.48484848484848486,0.48465583862003303,0.6122474747474748
xgboost,tuned_gridsearchcv,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200}",0.42424242424242425,0.41363636363636364,0.42424242424242425,0.41462450592885375,0.5767906336088154
